Country,State,City,Population
Country3,c3_State3,c3_s3_City4,427280
Country3,c3_State4,c3_s4_City3,14406
Country2,c2_State3,c2_s3_City3,317242
Country2,c2_State1,c2_s1_City4,398891
Country1,c1_State4,c1_s4_City4,104040
Country4,c4_State5,c4_s5_City1,9721
Country5,c5_State4,c5_s4_City3,58985
Country1,c1_State1,c1_s1_City1,256153
Country3,c3_State1,c3_s1_City3,429861
Country3,c3_State2,c3_s2_City3,226881
Country2,c2_State4,c2_s4_City1,444322
Country1,c1_State5,c1_s5_City4,238909
Country2,c2_State5,c2_s5_City2,456248
Country2,c2_State2,c2_s2_City1,62728
Country4,c4_State2,c4_s2_City3,200598
Country5,c5_State5,c5_s5_City1,326215
Country2,c2_State2,c2_s2_City2,215059
Country4,c4_State2,c4_s2_City4,34599
Country2,c2_State1,c2_s1_City2,118922
Country3,c3_State2,c3_s2_City2,157207
Country5,c5_State1,c5_s1_City2,253002
Country2,c2_State5,c2_s5_City4,84353
Country1,c1_State4,c1_s4_City2,216241
Country5,c5_State3,c5_s3_City1,355018
Country4,c4_State1,c4_s1_City3,385666
Country1,c1_State1,c1_s1_City2,335863
Country5,c5_State5,c5_s5_City4,243803
Country2,c2_State4,c2_s4_City2,197740
Country2,c2_State3,c2_s3_City4,66158
Country4,c4_State2,c4_s2_City2,77855
Country4,c4_State4,c4_s4_City4,484152
Country3,c3_State4,c3_s4_City1,101630
Country1,c1_State5,c1_s5_City2,167365
Country2,c2_State5,c2_s5_City3,207747
Country2,c2_State3,c2_s3_City2,11574
Country1,c1_State5,c1_s5_City3,52912
Country1,c1_State3,c1_s3_City4,367380
Country5,c5_State4,c5_s4_City1,326973
Country2,c2_State4,c2_s4_City3,79272
Country1,c1_State3,c1_s3_City3,255325
Country2,c2_State1,c2_s1_City1,212200
Country3,c3_State5,c3_s5_City1,386863
Country5,c5_State4,c5_s4_City2,325280
Country5,c5_State3,c5_s3_City3,224486
Country5,c5_State2,c5_s2_City2,18079
Country4,c4_State3,c4_s3_City1,484443
Country3,c3_State1,c3_s1_City1,494513
Country3,c3_State5,c3_s5_City3,395835
Country5,c5_State2,c5_s2_City1,278390
Country1,c1_State2,c1_s2_City3,10673
Country3,c3_State3,c3_s3_City1,350935
Country4,c4_State4,c4_s4_City2,297589
Country5,c5_State3,c5_s3_City4,442290
Country4,c4_State2,c4_s2_City1,19403
Country4,c4_State1,c4_s1_City2,357294
Country1,c1_State1,c1_s1_City4,78786
Country4,c4_State4,c4_s4_City3,356328
Country5,c5_State1,c5_s1_City4,234525
Country5,c5_State4,c5_s4_City4,401752
Country3,c3_State5,c3_s5_City4,272301
Country1,c1_State1,c1_s1_City3,345204
Country5,c5_State1,c5_s1_City3,7100
Country5,c5_State5,c5_s5_City3,258390
Country3,c3_State1,c3_s1_City2,467491
Country4,c4_State1,c4_s1_City4,279114
Country2,c2_State2,c2_s2_City3,150894
Country3,c3_State4,c3_s4_City2,207632
Country3,c3_State4,c3_s4_City4,485489
Country3,c3_State5,c3_s5_City2,467014
Country1,c1_State3,c1_s3_City2,220855
Country1,c1_State2,c1_s2_City2,360391
Country4,c4_State1,c4_s1_City1,304547
Country1,c1_State4,c1_s4_City1,398554
Country4,c4_State5,c4_s5_City3,109564
Country4,c4_State5,c4_s5_City2,250462
Country4,c4_State5,c4_s5_City4,32599
Country3,c3_State2,c3_s2_City4,142962
Country2,c2_State1,c2_s1_City3,115078
Country1,c1_State3,c1_s3_City1,259938
Country1,c1_State2,c1_s2_City1,260623
Country2,c2_State3,c2_s3_City1,98596
Country4,c4_State3,c4_s3_City3,448202
Country2,c2_State5,c2_s5_City1,446666
Country3,c3_State3,c3_s3_City3,300615
Country4,c4_State3,c4_s3_City4,332054
Country5,c5_State1,c5_s1_City1,5387
Country4,c4_State3,c4_s3_City2,142069
Country1,c1_State2,c1_s2_City4,159880
Country4,c4_State4,c4_s4_City1,61451
Country5,c5_State2,c5_s2_City4,238210
Country5,c5_State3,c5_s3_City2,101298
Country3,c3_State1,c3_s1_City4,59288
Country1,c1_State4,c1_s4_City3,127834
Country3,c3_State2,c3_s2_City1,13510
Country5,c5_State2,c5_s2_City3,472739
Country5,c5_State5,c5_s5_City2,104685
Country2,c2_State2,c2_s2_City4,254818
Country2,c2_State4,c2_s4_City4,436312
Country3,c3_State3,c3_s3_City2,169847
Country1,c1_State5,c1_s5_City1,471809
