Name,Population,State,Country
City4,286930,State3,country3
City4,635110,State1,country2
City2,744760,State3,country3
City4,1208691,State5,country2
City3,1292437,State1,country3
City1,1499336,State3,country4
City1,556915,State4,country2
City4,1176052,State4,country1
City1,1526469,State5,country3
City2,934785,State2,country4
City1,729125,State4,country3
City3,29478,State5,country1
City1,1305696,State2,country1
City1,1472795,State3,country2
City2,1111944,State2,country5
City3,1405705,State5,country3
City3,1479997,State3,country1
City2,1950774,State1,country1
City1,1956337,State2,country4
City1,1826462,State3,country1
City1,1994123,State1,country1
City4,1999531,State4,country4
City2,1519271,State1,country5
City4,890704,State4,country5
City4,424258,State2,country3
City3,1231288,State4,country1
City1,1098574,State2,country5
City4,385327,State5,country3
City2,1338252,State4,country1
City4,1166009,State3,country1
City3,1463413,State4,country4
City3,1154447,State3,country4
City1,572307,State1,country5
City4,223072,State2,country1
City1,60536,State3,country5
City2,1576955,State4,country2
City4,121294,State5,country4
City4,599057,State3,country5
City3,87472,State1,country5
City1,332921,State4,country5
City3,836041,State2,country4
City3,822889,State1,country2
City3,598410,State2,country2
City1,72417,State1,country3
City4,713456,State2,country5
City4,548110,State1,country3
City3,550537,State4,country2
City4,405453,State2,country2
City4,94299,State5,country1
City3,330729,State5,country2
City4,1363900,State5,country5
City4,1760974,State1,country5
City2,1567358,State5,country2
City4,199812,State4,country2
City2,852883,State2,country1
City1,951696,State4,country1
City1,432524,State1,country2
City2,1898954,State5,country3
City1,1162637,State1,country4
City3,1827600,State2,country5
City2,896333,State1,country4
City3,403042,State5,country5
City2,1530398,State3,country1
City1,1122922,State5,country1
City4,1398364,State1,country4
City3,1410627,State1,country4
City2,419934,State2,country3
City1,513048,State5,country2
City3,849955,State3,country3
City2,240497,State4,country3
City2,1918540,State5,country1
City4,1830845,State3,country4
City4,1160071,State3,country2
City4,404996,State4,country3
City2,355852,State4,country4
City2,1382346,State5,country4
City2,1681866,State4,country5
City1,1302893,State5,country4
City1,1242464,State5,country5
City3,1465857,State3,country5
City3,1384845,State2,country3
City4,664455,State2,country4
City2,198276,State3,country2
City2,1060965,State3,country5
City3,1422562,State4,country3
City3,839018,State4,country5
City3,1907056,State5,country4
City2,380470,State5,country5
City1,1618243,State4,country4
City1,679241,State2,country2
City1,21534,State2,country3
City2,962260,State2,country2
City4,1182001,State1,country1
City3,170553,State3,country2
City2,1096895,State1,country2
City3,1792805,State1,country1
City2,499063,State3,country4
City1,35982,State3,country3
City2,933855,State1,country3
City3,1656951,State2,country1
